,production,hour
386,0.0,2
387,0.0,3
388,0.0,4
389,0.0,5
390,0.0,6
391,0.0,7
392,0.0,8
393,18329.019,9
394,49637.236,10
395,70265.973,11
396,70034.449,12
397,59299.56,13
398,33788.751,14
399,2630.692,15
400,0.0,16
401,0.0,17
402,0.0,18
403,0.0,19
404,0.0,20
405,0.0,21
406,0.0,22
407,0.0,23
408,0.0,0
409,0.0,1
410,0.0,2
411,0.0,3
412,0.0,4
413,0.0,5
414,0.0,6
415,0.0,7
416,0.0,8
417,6731.874,9
418,49493.683,10
419,92142.021,11
420,126417.069,12
421,129424.224,13
422,87629.52,14
423,15654.062,15
424,0.0,16
425,0.0,17
426,0.0,18
427,0.0,19
428,0.0,20
429,0.0,21
430,0.0,22
431,0.0,23
432,0.0,0
433,0.0,1
434,0.0,2
435,0.0,3
436,0.0,4
437,0.0,5
438,0.0,6
439,0.0,7
440,0.0,8
441,7547.628,9
442,25533.605,10
443,38452.669,11
444,41128.356,12
445,35053.832,13
446,19571.627,14
447,654.736,15
448,0.0,16
449,0.0,17
450,0.0,18
451,0.0,19
452,0.0,20
453,0.0,21
454,0.0,22
455,0.0,23
456,0.0,0
457,0.0,1
458,0.0,2
459,0.0,3
460,0.0,4
461,0.0,5
462,0.0,6
463,0.0,7
464,0.0,8
465,7639.024,9
466,53509.145,10
467,99697.624,11
468,140113.694,12
469,121775.452,13
470,62220.005,14
471,5857.57,15
472,0.0,16
473,0.0,17
474,0.0,18
475,0.0,19
476,0.0,20
477,0.0,21
478,0.0,22
479,0.0,23
480,0.0,0
481,0.0,1
482,0.0,2
483,0.0,3
484,0.0,4
485,0.0,5
486,0.0,6
487,0.0,7
488,0.0,8
489,31963.956,9
490,66588.883,10
491,115296.823,11
492,153576.599,12
493,154333.171,13
494,109315.332,14
495,28806.151,15
496,0.0,16
497,0.0,17
498,0.0,18
499,0.0,19
500,0.0,20
501,0.0,21
502,0.0,22
503,0.0,23
504,0.0,0
505,0.0,1
506,0.0,2
507,0.0,3
508,0.0,4
509,0.0,5
510,0.0,6
511,0.0,7
512,0.0,8
513,33411.211,9
514,68526.959,10
515,118430.437,11
516,156879.841,12
517,158183.891,13
518,112761.635,14
519,31787.367,15
520,0.0,16
521,0.0,17
522,0.0,18
523,0.0,19
524,0.0,20
525,0.0,21
526,0.0,22
527,0.0,23
528,0.0,0
529,0.0,1
530,0.0,2
531,0.0,3
532,0.0,4
533,0.0,5
534,0.0,6
535,0.0,7
536,0.0,8
537,20531.246,9
538,45967.797,10
539,54655.125,11
540,46306.876,12
541,40151.204,13
542,23458.891,14
543,4084.799,15
544,0.0,16
545,0.0,17
546,0.0,18
547,0.0,19
548,0.0,20
549,0.0,21
550,0.0,22
551,0.0,23
552,0.0,0
553,0.0,1
554,0.0,2
555,0.0,3
556,0.0,4
557,0.0,5
558,0.0,6
559,0.0,7
560,0.0,8
561,10297.934,9
562,29990.59,10
563,42962.123,11
564,46486.234,12
565,40412.819,13
566,23949.344,14
567,4184.466,15
568,0.0,16
569,0.0,17
570,0.0,18
571,0.0,19
572,0.0,20
573,0.0,21
574,0.0,22
575,0.0,23
576,0.0,0
577,0.0,1
578,0.0,2
579,0.0,3
580,0.0,4
581,0.0,5
582,0.0,6
583,0.0,7
584,0.0,8
585,11099.321,9
586,30759.33,10
587,43700.252,11
588,48091.422,12
589,41192.735,13
590,25600.25,14
591,5081.827,15
592,0.0,16
593,0.0,17
594,0.0,18
595,0.0,19
596,0.0,20
597,0.0,21
598,0.0,22
599,0.0,23
600,0.0,0
601,0.0,1
602,0.0,2
603,0.0,3
604,0.0,4
605,0.0,5
606,0.0,6
607,0.0,7
608,0.0,8
609,22866.468,9
610,63743.424,10
611,106104.163,11
612,134757.11,12
613,130602.691,13
614,91098.705,14
615,27399.149,15
616,0.0,16
617,0.0,17
618,0.0,18
619,0.0,19
620,0.0,20
621,0.0,21
622,0.0,22
623,0.0,23
624,0.0,0
625,0.0,1
626,0.0,2
627,0.0,3
628,0.0,4
629,0.0,5
630,0.0,6
631,0.0,7
632,0.0,8
633,12727.997,9
634,32395.658,10
635,46133.225,11
636,49706.632,12
637,42807.032,13
638,27215.304,14
639,6789.941,15
640,0.0,16
641,0.0,17
642,0.0,18
643,0.0,19
644,0.0,20
645,0.0,21
646,0.0,22
647,0.0,23
648,0.0,0
649,0.0,1
650,0.0,2
651,0.0,3
652,0.0,4
653,0.0,5
654,0.0,6
655,0.0,7
656,0.0,8
657,25132.218,9
658,58282.524,10
659,81952.922,11
660,89558.452,12
661,68297.744,13
662,36736.26,14
663,7704.099,15
664,0.0,16
665,0.0,17
666,0.0,18
667,0.0,19
668,0.0,20
669,0.0,21
670,0.0,22
671,0.0,23
672,0.0,0
673,0.0,1
674,0.0,2
675,0.0,3
676,0.0,4
677,0.0,5
678,0.0,6
679,0.0,7
680,0.0,8
681,14420.375,9
682,34065.028,10
683,47716.33,11
684,52067.421,12
685,45278.035,13
686,29710.221,14
687,8517.267,15
688,0.0,16
689,0.0,17
690,0.0,18
691,0.0,19
692,0.0,20
693,0.0,21
694,0.0,22
695,0.0,23
696,0.0,0
697,0.0,1
698,0.0,2
699,0.0,3
700,0.0,4
701,0.0,5
702,0.0,6
703,0.0,7
704,0.0,8
705,15318.56,9
706,35829.947,10
707,49458.559,11
708,52906.112,12
709,46085.502,13
710,30535.092,14
711,9345.933,15
712,0.0,16
713,0.0,17
714,0.0,18
715,0.0,19
716,0.0,20
717,0.0,21
718,0.0,22
719,0.0,23
720,0.0,0
721,0.0,1
722,0.0,2
723,0.0,3
724,0.0,4
725,0.0,5
726,0.0,6
727,0.0,7
728,0.0,8
729,16188.696,9
730,36783.644,10
731,50527.183,11
732,54941.414,12
733,48103.432,13
734,31580.887,14
735,10268.139,15
736,0.0,16
737,0.0,17
738,0.0,18
739,0.0,19
740,0.0,20
741,0.0,21
742,0.0,22
743,0.0,23
744,0.0,0
745,0.0,1
746,0.0,2
747,0.0,3
748,0.0,4
749,0.0,5
750,0.0,6
751,0.0,7
752,0.0,8
753,20256.417,9
754,42436.921,10
755,56274.421,11
756,60781.357,12
757,54098.295,13
758,37586.602,14
759,14312.098,15
760,0.0,16
761,0.0,17
762,0.0,18
763,0.0,19
764,0.0,20
765,0.0,21
766,0.0,22
767,0.0,23
768,0.0,0
769,0.0,1
770,0.0,2
771,0.0,3
772,0.0,4
773,0.0,5
774,0.0,6
775,0.0,7
776,6269.256,8
777,57336.854,9
778,90905.866,10
779,127312.564,11
780,108437.097,12
781,84978.648,13
782,50085.379,14
783,15990.476,15
784,0.0,16
785,0.0,17
786,0.0,18
787,0.0,19
788,0.0,20
789,0.0,21
790,0.0,22
791,0.0,23
792,0.0,0
793,0.0,1
794,0.0,2
795,0.0,3
796,0.0,4
797,0.0,5
798,0.0,6
799,0.0,7
800,0.0,8
801,21536.63,9
802,54544.392,10
803,86458.873,11
804,108125.209,12
805,99625.944,13
806,72298.277,14
807,32053.44,15
808,0.0,16
809,0.0,17
810,0.0,18
811,0.0,19
812,0.0,20
813,0.0,21
814,0.0,22
815,0.0,23
816,0.0,0
817,0.0,1
818,0.0,2
819,0.0,3
820,0.0,4
821,0.0,5
822,0.0,6
823,0.0,7
824,117.72,8
825,22246.984,9
826,44069.009,10
827,58557.718,11
828,63052.642,12
829,71922.635,13
830,62389.83,14
831,33587.166,15
832,1142.326,16
833,0.0,17
834,0.0,18
835,0.0,19
836,0.0,20
837,0.0,21
838,0.0,22
839,0.0,23
840,0.0,0
841,0.0,1
842,0.0,2
843,0.0,3
844,0.0,4
845,0.0,5
846,0.0,6
847,0.0,7
848,7270.546,8
849,64339.489,9
850,99838.452,10
851,136127.663,11
852,115146.889,12
853,143650.611,13
854,138573.838,14
855,92380.565,15
856,4301.888,16
857,0.0,17
858,0.0,18
859,0.0,19
860,0.0,20
861,0.0,21
862,0.0,22
863,0.0,23
864,0.0,0
865,0.0,1
866,0.0,2
867,0.0,3
868,0.0,4
869,0.0,5
870,0.0,6
871,0.0,7
872,6111.674,8
873,58883.319,9
874,104476.757,10
875,178900.958,11
876,223655.414,12
877,231908.868,13
878,195485.247,14
879,117309.197,15
880,6117.238,16
881,0.0,17
882,0.0,18
883,0.0,19
884,0.0,20
885,0.0,21
886,0.0,22
887,0.0,23
888,0.0,0
889,0.0,1
890,0.0,2
891,0.0,3
892,0.0,4
893,0.0,5
894,0.0,6
895,0.0,7
896,6997.57,8
897,38269.1,9
898,75002.678,10
899,82210.738,11
900,69116.232,12
901,63259.46,13
902,45840.313,14
903,21301.912,15
904,0.0,16
905,0.0,17
906,0.0,18
907,0.0,19
908,0.0,20
909,0.0,21
910,0.0,22
911,0.0,23
912,0.0,0
913,0.0,1
914,0.0,2
915,0.0,3
916,0.0,4
917,0.0,5
918,0.0,6
919,0.0,7
920,7214.716,8
921,39998.485,9
922,85892.514,10
923,114442.586,11
924,125604.327,12
925,100471.937,13
926,61382.718,14
927,23126.876,15
928,0.0,16
929,0.0,17
930,0.0,18
931,0.0,19
932,0.0,20
933,0.0,21
934,0.0,22
935,0.0,23
936,0.0,0
937,0.0,1
938,0.0,2
939,0.0,3
940,0.0,4
941,0.0,5
942,0.0,6
943,0.0,7
944,8788.005,8
945,59593.386,9
946,119815.598,10
947,199664.567,11
948,245484.437,12
949,258946.539,13
950,225702.56,14
951,143647.148,15
952,11389.612,16
953,0.0,17
954,0.0,18
955,0.0,19
956,0.0,20
957,0.0,21
958,0.0,22
959,0.0,23
960,0.0,0
961,0.0,1
962,0.0,2
963,0.0,3
964,0.0,4
965,0.0,5
966,0.0,6
967,0.0,7
968,13573.605,8
969,42762.17,9
970,91047.041,10
971,119943.209,11
972,131937.313,12
973,123874.835,13
974,95529.105,14
975,49023.443,15
976,3307.624,16
977,0.0,17
978,0.0,18
979,0.0,19
980,0.0,20
981,0.0,21
982,0.0,22
983,0.0,23
984,0.0,0
985,0.0,1
986,0.0,2
987,0.0,3
988,0.0,4
989,0.0,5
990,0.0,6
991,0.0,7
992,12979.684,8
993,64393.053,9
994,126619.906,10
995,203415.209,11
996,247797.339,12
997,248515.829,13
998,195907.329,14
999,112018.627,15
1000,10863.678,16
1001,0.0,17
1002,0.0,18
1003,0.0,19
1004,0.0,20
1005,0.0,21
1006,0.0,22
1007,0.0,23
1008,0.0,0
1009,0.0,1
1010,0.0,2
1011,0.0,3
1012,0.0,4
1013,0.0,5
1014,0.0,6
1015,0.0,7
1016,14662.102,8
1017,58542.698,9
1018,132531.347,10
1019,217969.606,11
1020,271419.213,12
1021,282697.882,13
1022,246266.986,14
1023,160711.833,15
1024,24661.784,16
1025,0.0,17
1026,0.0,18
1027,0.0,19
1028,0.0,20
1029,0.0,21
1030,0.0,22
1031,0.0,23
1032,0.0,0
1033,0.0,1
1034,0.0,2
1035,0.0,3
1036,0.0,4
1037,0.0,5
1038,0.0,6
1039,0.0,7
1040,19045.48,8
1041,63177.541,9
1042,134680.567,10
1043,214468.881,11
